Totales Territoriales;Nacionalidad;Orden de nacimiento;Periodo;Total
Total Nacional;Española;Primero;1979;..
Total Nacional;Española;Primero;1978;..
Total Nacional;Española;Primero;1977;..
Total Nacional;Española;Primero;1976;..
Total Nacional;Española;Primero;1975;..
Total Nacional;Española;Segundo;2024;0,39
Total Nacional;Española;Segundo;2023;0,4
Total Nacional;Española;Segundo;2022;0,4
Total Nacional;Española;Segundo;2021;0,42
Total Nacional;Española;Segundo;2020;0,41
Total Nacional;Española;Segundo;2019;0,43
Total Nacional;Española;Segundo;2018;0,45
Total Nacional;Española;Segundo;2017;0,47
Total Nacional;Española;Segundo;2016;0,48
Total Nacional;Española;Segundo;2015;0,48
Total Nacional;Española;Segundo;2014;0,46
Total Nacional;Española;Segundo;2013;0,44
Total Nacional;Española;Segundo;2012;0,46
Total Nacional;Española;Segundo;2011;0,47
Total Nacional;Española;Segundo;2010;0,47
Total Nacional;Española;Segundo;2009;0,47
Total Nacional;Española;Segundo;2008;0,5
Total Nacional;Española;Segundo;2007;0,43
Total Nacional;Española;Segundo;2006;0,47
Total Nacional;Española;Segundo;2005;0,46
Total Nacional;Española;Segundo;2004;0,46
Total Nacional;Española;Segundo;2003;0,45
Total Nacional;Española;Segundo;2002;0,44
Total Nacional;Española;Segundo;2001;..
Total Nacional;Española;Segundo;2000;..
Total Nacional;Española;Segundo;1999;..
Total Nacional;Española;Segundo;1998;..
Total Nacional;Española;Segundo;1997;..
Total Nacional;Española;Segundo;1996;..
Total Nacional;Española;Segundo;1995;..
Total Nacional;Española;Segundo;1994;..
Total Nacional;Española;Segundo;1993;..
Total Nacional;Española;Segundo;1992;..
Total Nacional;Española;Segundo;1991;..
Total Nacional;Española;Segundo;1990;..
Total Nacional;Española;Segundo;1989;..
Total Nacional;Española;Segundo;1988;..
Total Nacional;Española;Segundo;1987;..
Total Nacional;Española;Segundo;1986;..
Total Nacional;Española;Segundo;1985;..
Total Nacional;Española;Segundo;1984;..
Total Nacional;Española;Segundo;1983;..
Total Nacional;Española;Segundo;1982;..
Total Nacional;Española;Segundo;1981;..
Total Nacional;Española;Segundo;1980;..
Total Nacional;Española;Segundo;1979;..
Total Nacional;Española;Segundo;1978;..
Total Nacional;Española;Segundo;1977;..
Total Nacional;Española;Segundo;1976;..
Total Nacional;Española;Segundo;1975;..
Total Nacional;Española;Tercero;2024;0,08
Total Nacional;Española;Tercero;2023;0,09
Total Nacional;Española;Tercero;2022;0,09
Total Nacional;Española;Tercero;2021;0,1
Total Nacional;Española;Tercero;2020;0,09
Total Nacional;Española;Tercero;2019;0,09
Total Nacional;Española;Tercero;2018;0,09
Total Nacional;Española;Tercero;2017;0,09
Total Nacional;Española;Tercero;2016;0,09
Total Nacional;Española;Tercero;2015;0,09
Total Nacional;Española;Tercero;2014;0,08
Total Nacional;Española;Tercero;2013;0,08
Total Nacional;Española;Tercero;2012;0,08
Total Nacional;Española;Tercero;2011;0,08
Total Nacional;Española;Tercero;2010;0,09
Total Nacional;Española;Tercero;2009;0,09
Total Nacional;Española;Tercero;2008;0,09
Total Nacional;Española;Tercero;2007;0,09
Total Nacional;Española;Tercero;2006;0,09
Total Nacional;Española;Tercero;2005;0,09
Total Nacional;Española;Tercero;2004;0,09
Total Nacional;Española;Tercero;2003;0,09
Total Nacional;Española;Tercero;2002;0,09
Total Nacional;Española;Tercero;2001;..
Total Nacional;Española;Tercero;2000;..
Total Nacional;Española;Tercero;1999;..
Total Nacional;Española;Tercero;1998;..
Total Nacional;Española;Tercero;1997;..
Total Nacional;Española;Tercero;1996;..
Total Nacional;Española;Tercero;1995;..
Total Nacional;Española;Tercero;1994;..
Total Nacional;Española;Tercero;1993;..
Total Nacional;Española;Tercero;1992;..
Total Nacional;Española;Tercero;1991;..
Total Nacional;Española;Tercero;1990;..
Total Nacional;Española;Tercero;1989;..
Total Nacional;Española;Tercero;1988;..
Total Nacional;Española;Tercero;1987;..
Total Nacional;Española;Tercero;1986;..
Total Nacional;Española;Tercero;1985;..
Total Nacional;Española;Tercero;1984;..
Total Nacional;Española;Tercero;1983;..
Total Nacional;Española;Tercero;1982;..
Total Nacional;Española;Tercero;1981;..
Total Nacional;Española;Tercero;1980;..
Total Nacional;Española;Tercero;1979;..
Total Nacional;Española;Tercero;1978;..
Total Nacional;Española;Tercero;1977;..
Total Nacional;Española;Tercero;1976;..
Total Nacional;Española;Tercero;1975;..
Total Nacional;Española;Cuarto y más;2024;0,03
Total Nacional;Española;Cuarto y más;2023;0,03
Total Nacional;Española;Cuarto y más;2022;0,03
Total Nacional;Española;Cuarto y más;2021;0,03
Total Nacional;Española;Cuarto y más;2020;0,03
Total Nacional;Española;Cuarto y más;2019;0,03
Total Nacional;Española;Cuarto y más;2018;0,03
Total Nacional;Española;Cuarto y más;2017;0,03
Total Nacional;Española;Cuarto y más;2016;0,02
Total Nacional;Española;Cuarto y más;2015;0,02
Total Nacional;Española;Cuarto y más;2014;0,02
Total Nacional;Española;Cuarto y más;2013;0,02
Total Nacional;Española;Cuarto y más;2012;0,02
Total Nacional;Española;Cuarto y más;2011;0,02
Total Nacional;Española;Cuarto y más;2010;0,02
Total Nacional;Española;Cuarto y más;2009;0,02
Total Nacional;Española;Cuarto y más;2008;0,02
Total Nacional;Española;Cuarto y más;2007;0,02
Total Nacional;Española;Cuarto y más;2006;0,02
Total Nacional;Española;Cuarto y más;2005;0,02
Total Nacional;Española;Cuarto y más;2004;0,02
Total Nacional;Española;Cuarto y más;2003;0,02
Total Nacional;Española;Cuarto y más;2002;0,03
Total Nacional;Española;Cuarto y más;2001;..
Total Nacional;Española;Cuarto y más;2000;..
Total Nacional;Española;Cuarto y más;1999;..
Total Nacional;Española;Cuarto y más;1998;..
Total Nacional;Española;Cuarto y más;1997;..
Total Nacional;Española;Cuarto y más;1996;..
Total Nacional;Española;Cuarto y más;1995;..
Total Nacional;Española;Cuarto y más;1994;..
Total Nacional;Española;Cuarto y más;1993;..
Total Nacional;Española;Cuarto y más;1992;..
Total Nacional;Española;Cuarto y más;1991;..
Total Nacional;Española;Cuarto y más;1990;..
Total Nacional;Española;Cuarto y más;1989;..
Total Nacional;Española;Cuarto y más;1988;..
Total Nacional;Española;Cuarto y más;1987;..
Total Nacional;Española;Cuarto y más;1986;..
Total Nacional;Española;Cuarto y más;1985;..
Total Nacional;Española;Cuarto y más;1984;..
Total Nacional;Española;Cuarto y más;1983;..
Total Nacional;Española;Cuarto y más;1982;..
Total Nacional;Española;Cuarto y más;1981;..
Total Nacional;Española;Cuarto y más;1980;..
Total Nacional;Española;Cuarto y más;1979;..
Total Nacional;Española;Cuarto y más;1978;..
Total Nacional;Española;Cuarto y más;1977;..
Total Nacional;Española;Cuarto y más;1976;..
Total Nacional;Española;Cuarto y más;1975;..
Total Nacional;Extranjera;Todos;2024;1,27
Total Nacional;Extranjera;Todos;2023;1,28
Total Nacional;Extranjera;Todos;2022;1,35
Total Nacional;Extranjera;Todos;2021;1,35
Total Nacional;Extranjera;Todos;2020;1,45
Total Nacional;Extranjera;Todos;2019;1,58
Total Nacional;Extranjera;Todos;2018;1,64
Total Nacional;Extranjera;Todos;2017;1,7
Total Nacional;Extranjera;Todos;2016;1,71
Total Nacional;Extranjera;Todos;2015;1,65
Total Nacional;Extranjera;Todos;2014;1,61
Total Nacional;Extranjera;Todos;2013;1,52
Total Nacional;Extranjera;Todos;2012;1,56
Total Nacional;Extranjera;Todos;2011;1,58
Total Nacional;Extranjera;Todos;2010;1,68
Total Nacional;Extranjera;Todos;2009;1,68
Total Nacional;Extranjera;Todos;2008;1,83
Total Nacional;Extranjera;Todos;2007;1,72
Total Nacional;Extranjera;Todos;2006;1,69
Total Nacional;Extranjera;Todos;2005;1,66
Total Nacional;Extranjera;Todos;2004;1,75
Total Nacional;Extranjera;Todos;2003;1,77
Total Nacional;Extranjera;Todos;2002;1,86
Total Nacional;Extranjera;Todos;2001;..
Total Nacional;Extranjera;Todos;2000;..
Total Nacional;Extranjera;Todos;1999;..
Total Nacional;Extranjera;Todos;1998;..
Total Nacional;Extranjera;Todos;1997;..
Total Nacional;Extranjera;Todos;1996;..
Total Nacional;Extranjera;Todos;1995;..
Total Nacional;Extranjera;Todos;1994;..
Total Nacional;Extranjera;Todos;1993;..
Total Nacional;Extranjera;Todos;1992;..
Total Nacional;Extranjera;Todos;1991;..
Total Nacional;Extranjera;Todos;1990;..
Total Nacional;Extranjera;Todos;1989;..
Total Nacional;Extranjera;Todos;1988;..
Total Nacional;Extranjera;Todos;1987;..
Total Nacional;Extranjera;Todos;1986;..
Total Nacional;Extranjera;Todos;1985;..
Total Nacional;Extranjera;Todos;1984;..
Total Nacional;Extranjera;Todos;1983;..
Total Nacional;Extranjera;Todos;1982;..
Total Nacional;Extranjera;Todos;1981;..
Total Nacional;Extranjera;Todos;1980;..
Total Nacional;Extranjera;Todos;1979;..
Total Nacional;Extranjera;Todos;1978;..
Total Nacional;Extranjera;Todos;1977;..
Total Nacional;Extranjera;Todos;1976;..
Total Nacional;Extranjera;Todos;1975;..
Total Nacional;Extranjera;Primero;2024;0,61
Total Nacional;Extranjera;Primero;2023;0,6
Total Nacional;Extranjera;Primero;2022;0,64
Total Nacional;Extranjera;Primero;2021;0,63
Total Nacional;Extranjera;Primero;2020;0,72
Total Nacional;Extranjera;Primero;2019;0,75
Total Nacional;Extranjera;Primero;2018;0,78
Total Nacional;Extranjera;Primero;2017;0,83
Total Nacional;Extranjera;Primero;2016;0,84
Total Nacional;Extranjera;Primero;2015;0,83
Total Nacional;Extranjera;Primero;2014;0,83
Total Nacional;Extranjera;Primero;2013;0,8
Total Nacional;Extranjera;Primero;2012;0,81
Total Nacional;Extranjera;Primero;2011;0,84
Total Nacional;Extranjera;Primero;2010;0,89
Total Nacional;Extranjera;Primero;2009;0,92
Total Nacional;Extranjera;Primero;2008;1,02
Total Nacional;Extranjera;Primero;2007;1,02
Total Nacional;Extranjera;Primero;2006;0,99
Total Nacional;Extranjera;Primero;2005;0,98
Total Nacional;Extranjera;Primero;2004;1,04
Total Nacional;Extranjera;Primero;2003;1,04
Total Nacional;Extranjera;Primero;2002;1,1
Total Nacional;Extranjera;Primero;2001;..
Total Nacional;Extranjera;Primero;2000;..
Total Nacional;Extranjera;Primero;1999;..
Total Nacional;Extranjera;Primero;1998;..
Total Nacional;Extranjera;Primero;1997;..
Total Nacional;Extranjera;Primero;1996;..
Total Nacional;Extranjera;Primero;1995;..
Total Nacional;Extranjera;Primero;1994;..
Total Nacional;Extranjera;Primero;1993;..
Total Nacional;Extranjera;Primero;1992;..
Total Nacional;Extranjera;Primero;1991;..
Total Nacional;Extranjera;Primero;1990;..
Total Nacional;Extranjera;Primero;1989;..
Total Nacional;Extranjera;Primero;1988;..
Total Nacional;Extranjera;Primero;1987;..
Total Nacional;Extranjera;Primero;1986;..
Total Nacional;Extranjera;Primero;1985;..
Total Nacional;Extranjera;Primero;1984;..
Total Nacional;Extranjera;Primero;1983;..
Total Nacional;Extranjera;Primero;1982;..
Total Nacional;Extranjera;Primero;1981;..
Total Nacional;Extranjera;Primero;1980;..
Total Nacional;Extranjera;Primero;1979;..
Total Nacional;Extranjera;Primero;1978;..
Total Nacional;Extranjera;Primero;1977;..
Total Nacional;Extranjera;Primero;1976;..
Total Nacional;Extranjera;Primero;1975;..
Total Nacional;Extranjera;Segundo;2024;0,41
Total Nacional;Extranjera;Segundo;2023;0,42
Total Nacional;Extranjera;Segundo;2022;0,43
Total Nacional;Extranjera;Segundo;2021;0,43
Total Nacional;Extranjera;Segundo;2020;0,44
Total Nacional;Extranjera;Segundo;2019;0,51
Total Nacional;Extranjera;Segundo;2018;0,53
Total Nacional;Extranjera;Segundo;2017;0,55
Total Nacional;Extranjera;Segundo;2016;0,55
Total Nacional;Extranjera;Segundo;2015;0,53
Total Nacional;Extranjera;Segundo;2014;0,51
Total Nacional;Extranjera;Segundo;2013;0,48
Total Nacional;Extranjera;Segundo;2012;0,51
Total Nacional;Extranjera;Segundo;2011;0,5
Total Nacional;Extranjera;Segundo;2010;0,52
Total Nacional;Extranjera;Segundo;2009;0,5
Total Nacional;Extranjera;Segundo;2008;0,54
Total Nacional;Extranjera;Segundo;2007;0,45
Total Nacional;Extranjera;Segundo;2006;0,46
Total Nacional;Extranjera;Segundo;2005;0,44
Total Nacional;Extranjera;Segundo;2004;0,46
Total Nacional;Extranjera;Segundo;2003;0,46
Total Nacional;Extranjera;Segundo;2002;0,48
Total Nacional;Extranjera;Segundo;2001;..
Total Nacional;Extranjera;Segundo;2000;..
Total Nacional;Extranjera;Segundo;1999;..
Total Nacional;Extranjera;Segundo;1998;..
Total Nacional;Extranjera;Segundo;1997;..
Total Nacional;Extranjera;Segundo;1996;..
Total Nacional;Extranjera;Segundo;1995;..
Total Nacional;Extranjera;Segundo;1994;..
Total Nacional;Extranjera;Segundo;1993;..
Total Nacional;Extranjera;Segundo;1992;..
Total Nacional;Extranjera;Segundo;1991;..
Total Nacional;Extranjera;Segundo;1990;..
Total Nacional;Extranjera;Segundo;1989;..
Total Nacional;Extranjera;Segundo;1988;..
Total Nacional;Extranjera;Segundo;1987;..
Total Nacional;Extranjera;Segundo;1986;..
Total Nacional;Extranjera;Segundo;1985;..
Total Nacional;Extranjera;Segundo;1984;..
Total Nacional;Extranjera;Segundo;1983;..
Total Nacional;Extranjera;Segundo;1982;..
Total Nacional;Extranjera;Segundo;1981;..
Total Nacional;Extranjera;Segundo;1980;..
Total Nacional;Extranjera;Segundo;1979;..
Total Nacional;Extranjera;Segundo;1978;..
Total Nacional;Extranjera;Segundo;1977;..
Total Nacional;Extranjera;Segundo;1976;..
Total Nacional;Extranjera;Segundo;1975;..
Total Nacional;Extranjera;Tercero;2024;0,16
Total Nacional;Extranjera;Tercero;2023;0,17
Total Nacional;Extranjera;Tercero;2022;0,19
Total Nacional;Extranjera;Tercero;2021;0,19
Total Nacional;Extranjera;Tercero;2020;0,2
Total Nacional;Extranjera;Tercero;2019;0,22
Total Nacional;Extranjera;Tercero;2018;0,22
Total Nacional;Extranjera;Tercero;2017;0,22
Total Nacional;Extranjera;Tercero;2016;0,22
Total Nacional;Extranjera;Tercero;2015;0,2
Total Nacional;Extranjera;Tercero;2014;0,19
Total Nacional;Extranjera;Tercero;2013;0,17
Total Nacional;Extranjera;Tercero;2012;0,16
Total Nacional;Extranjera;Tercero;2011;0,16
Total Nacional;Extranjera;Tercero;2010;0,17
Total Nacional;Extranjera;Tercero;2009;0,17
Total Nacional;Extranjera;Tercero;2008;0,18
Total Nacional;Extranjera;Tercero;2007;0,16
Total Nacional;Extranjera;Tercero;2006;0,15
Total Nacional;Extranjera;Tercero;2005;0,15
Total Nacional;Extranjera;Tercero;2004;0,16
Total Nacional;Extranjera;Tercero;2003;0,16
Total Nacional;Extranjera;Tercero;2002;0,17
Total Nacional;Extranjera;Tercero;2001;..
Total Nacional;Extranjera;Tercero;2000;..
Total Nacional;Extranjera;Tercero;1999;..
Total Nacional;Extranjera;Tercero;1998;..
Total Nacional;Extranjera;Tercero;1997;..
Total Nacional;Extranjera;Tercero;1996;..
Total Nacional;Extranjera;Tercero;1995;..
Total Nacional;Extranjera;Tercero;1994;..
Total Nacional;Extranjera;Tercero;1993;..
Total Nacional;Extranjera;Tercero;1992;..
Total Nacional;Extranjera;Tercero;1991;..
Total Nacional;Extranjera;Tercero;1990;..
Total Nacional;Extranjera;Tercero;1989;..
Total Nacional;Extranjera;Tercero;1988;..
Total Nacional;Extranjera;Tercero;1987;..
Total Nacional;Extranjera;Tercero;1986;..
Total Nacional;Extranjera;Tercero;1985;..
Total Nacional;Extranjera;Tercero;1984;..
Total Nacional;Extranjera;Tercero;1983;..
Total Nacional;Extranjera;Tercero;1982;..
Total Nacional;Extranjera;Tercero;1981;..
Total Nacional;Extranjera;Tercero;1980;..
Total Nacional;Extranjera;Tercero;1979;..
Total Nacional;Extranjera;Tercero;1978;..
Total Nacional;Extranjera;Tercero;1977;..
Total Nacional;Extranjera;Tercero;1976;..
Total Nacional;Extranjera;Tercero;1975;..
Total Nacional;Extranjera;Cuarto y más;2024;0,09
Total Nacional;Extranjera;Cuarto y más;2023;0,09
Total Nacional;Extranjera;Cuarto y más;2022;0,1
Total Nacional;Extranjera;Cuarto y más;2021;0,1
Total Nacional;Extranjera;Cuarto y más;2020;0,1
Total Nacional;Extranjera;Cuarto y más;2019;0,1
Total Nacional;Extranjera;Cuarto y más;2018;0,1
Total Nacional;Extranjera;Cuarto y más;2017;0,1
Total Nacional;Extranjera;Cuarto y más;2016;0,1
Total Nacional;Extranjera;Cuarto y más;2015;0,09
Total Nacional;Extranjera;Cuarto y más;2014;0,09
Total Nacional;Extranjera;Cuarto y más;2013;0,08
Total Nacional;Extranjera;Cuarto y más;2012;0,08
Total Nacional;Extranjera;Cuarto y más;2011;0,08
Total Nacional;Extranjera;Cuarto y más;2010;0,09
Total Nacional;Extranjera;Cuarto y más;2009;0,09
Total Nacional;Extranjera;Cuarto y más;2008;0,1
Total Nacional;Extranjera;Cuarto y más;2007;0,09
Total Nacional;Extranjera;Cuarto y más;2006;0,09
Total Nacional;Extranjera;Cuarto y más;2005;0,09
Total Nacional;Extranjera;Cuarto y más;2004;0,09
Total Nacional;Extranjera;Cuarto y más;2003;0,1
Total Nacional;Extranjera;Cuarto y más;2002;0,1
Total Nacional;Extranjera;Cuarto y más;2001;..
Total Nacional;Extranjera;Cuarto y más;2000;..
Total Nacional;Extranjera;Cuarto y más;1999;..
Total Nacional;Extranjera;Cuarto y más;1998;..
Total Nacional;Extranjera;Cuarto y más;1997;..
Total Nacional;Extranjera;Cuarto y más;1996;..
Total Nacional;Extranjera;Cuarto y más;1995;..
Total Nacional;Extranjera;Cuarto y más;1994;..
Total Nacional;Extranjera;Cuarto y más;1993;..
Total Nacional;Extranjera;Cuarto y más;1992;..
Total Nacional;Extranjera;Cuarto y más;1991;..
Total Nacional;Extranjera;Cuarto y más;1990;..
Total Nacional;Extranjera;Cuarto y más;1989;..
Total Nacional;Extranjera;Cuarto y más;1988;..
Total Nacional;Extranjera;Cuarto y más;1987;..
Total Nacional;Extranjera;Cuarto y más;1986;..
Total Nacional;Extranjera;Cuarto y más;1985;..
Total Nacional;Extranjera;Cuarto y más;1984;..
Total Nacional;Extranjera;Cuarto y más;1983;..
Total Nacional;Extranjera;Cuarto y más;1982;..
Total Nacional;Extranjera;Cuarto y más;1981;..
Total Nacional;Extranjera;Cuarto y más;1980;..
Total Nacional;Extranjera;Cuarto y más;1979;..
Total Nacional;Extranjera;Cuarto y más;1978;..
Total Nacional;Extranjera;Cuarto y más;1977;..
Total Nacional;Extranjera;Cuarto y más;1976;..
Total Nacional;Extranjera;Cuarto y más;1975;..